CourseId,ProfName,Quarter,CRN
AMS 101G,Ryan Cartwright,202410,49843
ARE 138,Jeffrey Williams,202410,22081
ARE 143,Eric Johnson,202410,22087
ARE 200A,Burkhard Schipper,202410,22292
ARE 202A,Timothy Beatty,202410,22293
ARE 204A,Pierre Merel,202410,22294
ARE 215A,Rezaee/Carter,202410,22295
ARE 223,Daniel Sumner,202410,22296
ARE 231,Timothy Beatty,202410,22297
ARE 239,Shu Shen,202410,22298
ARE 256A,Timothy Beatty,202410,22300
ARE 277,James Sanchirico,202410,22301
EAE 001,Sanjay Joshi,202410,27645
EAE 127,Stephen Robinson,202410,27652
EAE 133,Nesrin Sarigul-Klijn,202410,27653
TAE 010,Ali Moghimi,202410,48428
TAE 121,Md Shamim Ahamed,202410,48431
ABG 290,Carly Moody,202401,10059
ABG 290,Fangue/Gross,202403,30044
ABG 290,Amy Mclean,202410,20061
ABG 300,Anita Oberbauer,202401,10176
ABG 300,Russ Hovey,202410,20185
ABI 050B,Nansen/McMunn,202401,10194
ABI 102,Michael Mienaltowski,202401,10213
ABI 102,Michael Mienaltowski,202410,20225
ABI 103,Matthias Hess,202401,10214
ABI 103,Lee Pettey,202403,30178
ABI 187,Marshall McMunn,202401,10215
ABI 187,Marshall McMunn,202410,20226
AMS 160,Grace Wang,202401,10890
AMS 160,The Staff,202410,49697
ANG 111,Elizabeth Maga,202401,11072
ANG 111,Dietmar Kueltz,202410,20984
ANS 015,Michael Mienaltowski,202401,11134
ANS 041L,Lee Pettey,202401,11136
ANS 041L,Frank Mitloehner,202410,21048
ANS 042,Anita Oberbauer,202401,11140
ANS 049C,Anne Todgham,202401,11148
ANS 049C,Russ Hovey,202403,30981
ANS 049C,Lee Pettey,202410,21056
ANS 049E,Anne Todgham,202401,11169
ANS 049E,Lee Pettey,202410,21080
ANS 120,Xiang Yang,202401,11397
ANS 120L,Xiang Yang,202401,11398
ANS 124,Russ Hovey,202401,11399
ANS 126,Amy Mclean,202401,44426
ANS 128,Leanna Kelly,202401,11404
ANS 134,Yanhong Liu,202401,11405
ANS 134,Payam Vahmani,202410,21160
ANS 139,Anne Todgham,202401,44925
ANS 142,Kristin Kellett,202401,11407
ANS 142,Carly Moody,202410,21166
ANS 148,Lee Pettey,202401,45140
ANS 150,Carly Moody,202401,11410
ANS 150,Huaijun Zhou,202403,31093
ANS 170,Kristina Horback,202401,44472
ANS 170,Kristina Horback,202410,21171
ANS 291,Hao Cheng,202401,11777
ANS 291,Hao Cheng,202403,31189
ANS 291,Hao Cheng,202410,21291
ANT 001,Timothy Weaver,202401,11944
ANT 001,Manvir Singh,202403,31277
ANT 001,The Staff,202410,21471
ANT 002,The Staff,202401,11955
ANT 002,Rebecca Jones,202403,31288
ANT 002,The Staff,202410,21485
ANT 003,John Darwent,202401,11985
ANT 003,Christyann Darwent,202410,21515
ANT 025,Teresa Steele,202401,11991
ANT 027,Cristina Moya,202401,44614
ANT 030,Thiago De Oliveira Braga,202401,44575
ANT 054,Meredith Lutz,202401,44635
ANT 104N,Suzana Sawyer,202401,44569
ANT 104N,Suzana Sawyer,202410,49899
ANT 109,Andres Barragan,202401,45040
ANT 109,Damien Caillaud,202403,57334
ANT 120,Fatima Mojaddedi,202401,44570
ANT 122B,James Smith,202401,12062
ANT 124,Smriti Srinivas,202401,12064
ANT 132,Cristiana Giordano,202401,44572
ANT 134,Alan Klima,202401,44574
APC 291,Reen Wu,202401,12366
APC 291,Reen Wu,202403,31668
APC 291,Reen Wu,202410,21897
ABG 200B,Rossow/Silva Del Rio,202403,30040
ABG 251,Timothy Hackmann,202403,57532
ANS 123,Yeunshin Lee,202403,31072
ANS 127,Amy Mclean,202403,31086
ANS 130,Anna Denicol,202403,31087
ANS 137,Annie King,202403,31088
ANS 141,Amy Mclean,202403,31089
ANS 144,Teixeira/Pettey,202403,31090
ANS 160B,Trish Berger,202403,31096
ANT 023,Nicolas Zwyns,202403,57037
ANT 028,Nicolas Zwyns,202403,31318
ANT 029,Christyann Darwent,202403,57039
ANT 032,Gerardo Con Diaz,202410,21530
ANT 034,Thiago De Oliveira Braga,202403,57158
ANT 101,Cristina Moya,202403,31380
ANT 127,Smriti Srinivas,202403,31383
ANT 129,Joseph Dumit,202403,31384
ABG 200A,Yanhong Liu,202410,20059
ABG 202,Fabio Lima,202410,20060
ABG 401,Kristina Horback,202410,20202
ABI 050A,Vannette/Hodson,202410,20203
AMS 155,Charlotte Biltekoff,202410,49696
ANS 001,Russ Hovey,202410,21021
ANS 018,Dietmar Kueltz,202410,21043
ANS 041,Frank Mitloehner,202410,21047
ANS 113,Xiang Yang,202410,21154
ANS 115,Amy Mclean,202410,21155
ANS 132,Matthias Hess,202410,21159
ANS 135,Lee Pettey,202410,21161
ANS 136,Tien-Chieh Hung,202410,21162
ANT 015,Damien Caillaud,202410,21522
ANT 024,Jelmer Eerkens,202410,49867
ANT 100,Tarik Elhaik,202410,21594
ANT 107,Jeffrey Kahn,202410,49900
ANT 131,Suzana Sawyer,202410,21599
APC 100,Crystal Rogers,202410,21867
ABT 016,Daniel Frank,202401,45333
ABT 016,Daniel Frank,202403,30280
ABT 016,Daniel Frank,202410,20318
ABT 052,Daniel Frank,202401,10321
ABT 101,Daniel Frank,202401,10382
ABT 142,Daniel Frank,202401,10383
ABT 150,Isaya Kisekka,202401,10384
ABT 150,Helen Dahlke,202403,30341
ABT 150,The Staff,202410,20355
ABT 161,Tien-Chieh Hung,202401,10388
ABT 182,Ali Moghimi,202401,44673
ATM 121B,Matthew Igel,202403,32332
ATM 128,Adele Igel,202403,32333
ATM 158,Ian Faloona,202403,57305
