,Name,Quality Rating,Total Ratings,Department,University,Would Take Again,Level of Difficulty,Link
77,Steven Sheffrin,3.9,25,Economics,University of California Davis,100%,3.1,https://www.ratemyprofessors.com/professor/127946
78,Naomi Janowitz,3.2,64,Religious Studies,University of California Davis,87%,2.8,https://www.ratemyprofessors.com/professor/128364
79,Edward Depeters,4.3,27,Animal Science,University of California Davis,100%,3,https://www.ratemyprofessors.com/professor/129624
80,Tom Gordon,4.7,92,Science,University of California Davis,100%,1.7,https://www.ratemyprofessors.com/professor/130621
81,Kathleen Ward,3.2,69,Linguistics,University of California Davis,12%,3.1,https://www.ratemyprofessors.com/professor/134747
82,Catherine Puckering,4.0,89,Communication,University of California Davis,N/A,2.8,https://www.ratemyprofessors.com/professor/138547
83,John Boe,4.4,120,English,University of California Davis,N/A,2,https://www.ratemyprofessors.com/professor/139528
84,Evan Fletcher,4.8,14,Not Specified,University of California Davis,N/A,2.6,https://www.ratemyprofessors.com/professor/140069
85,Scott Simmon,4.1,16,Film,University of California Davis,N/A,2.6,https://www.ratemyprofessors.com/professor/141838
86,Robert Kimsey,3.4,77,Biology,University of California Davis,70%,3.3,https://www.ratemyprofessors.com/professor/144936
87,Marilyn Whitney,4.2,83,Economics,University of California Davis,100%,2.5,https://www.ratemyprofessors.com/professor/146245
88,Christopher Calvert,3.7,73,Animal Science,University of California Davis,N/A,3.6,https://www.ratemyprofessors.com/professor/148157
89,Orhan Orgun,3.3,19,Linguistics,University of California Davis,N/A,1.6,https://www.ratemyprofessors.com/professor/148257
90,Dean Simonton,4.3,38,Psychology,University of California Davis,N/A,2.9,https://www.ratemyprofessors.com/professor/148496
91,Kevin Roddy,4.3,58,History,University of California Davis,N/A,4,https://www.ratemyprofessors.com/professor/148604
92,John Stenzel,3.9,36,English,University of California Davis,50%,3.5,https://www.ratemyprofessors.com/professor/148701
93,Tom Hahn,3.9,43,Neuropsychiatry,University of California Davis,88%,2.6,https://www.ratemyprofessors.com/professor/148759
94,Gergely Zimanyi,3.7,31,Physics,University of California Davis,100%,3.2,https://www.ratemyprofessors.com/professor/148824
95,Richard Grotjahn,3.2,28,Science,University of California Davis,100%,3.4,https://www.ratemyprofessors.com/professor/148919
96,Michael Delwiche,3.9,19,Engineering,University of California Davis,N/A,4,https://www.ratemyprofessors.com/professor/148931
97,Premkumar Devanbu,2.8,58,Computer Science,University of California Davis,77%,3.5,https://www.ratemyprofessors.com/professor/148960
98,Scott McLean,3.2,48,Literature,University of California Davis,N/A,2.2,https://www.ratemyprofessors.com/professor/149095
99,Elizabeth Davis,4.5,24,English,University of California Davis,N/A,2.3,https://www.ratemyprofessors.com/professor/149181
100,Marijane Osborn,2.3,20,English,University of California Davis,N/A,4.1,https://www.ratemyprofessors.com/professor/149189
101,Kazuo Yamazaki,1.8,33,Engineering,University of California Davis,N/A,2.5,https://www.ratemyprofessors.com/professor/149256
102,Stanley Sue,4.2,62,Ethnic Studies,University of California Davis,100%,2.7,https://www.ratemyprofessors.com/professor/149303
103,Aliki Dragona,4.5,29,English,University of California Davis,100%,2.5,https://www.ratemyprofessors.com/professor/149372
104,Miroslav Nincic,4.1,145,Political Science,University of California Davis,N/A,3.1,https://www.ratemyprofessors.com/professor/149376
105,Brian Rosario,2.9,105,Economics,University of California Davis,62%,3,https://www.ratemyprofessors.com/professor/149391
106,Simone Monnier Clay,4.6,46,French,University of California Davis,N/A,2.5,https://www.ratemyprofessors.com/professor/149493
107,Jacqueline Horn,3.6,26,Psychology,University of California Davis,N/A,3.2,https://www.ratemyprofessors.com/professor/149766
108,Joan Chandler,4.5,13,Fine Arts,University of California Davis,N/A,2.7,https://www.ratemyprofessors.com/professor/149852
109,Gary Sue Goodman,3.9,9,English,University of California Davis,N/A,3.4,https://www.ratemyprofessors.com/professor/149958
110,Steven Crum,4.2,49,Ethnic Studies,University of California Davis,0%,2,https://www.ratemyprofessors.com/professor/149978
111,Natarajan Sukumar,2.9,29,Engineering,University of California Davis,100%,3.2,https://www.ratemyprofessors.com/professor/151387
112,David Slaughter,3.3,14,Engineering,University of California Davis,20%,3.6,https://www.ratemyprofessors.com/professor/151507
113,John Hall,2.4,33,Sociology,University of California Davis,N/A,3.8,https://www.ratemyprofessors.com/professor/151509
114,Lawrence Cohen,3.8,52,Sociology,University of California Davis,0%,3.4,https://www.ratemyprofessors.com/professor/152011
115,Debora Paterniti,4.8,26,Sociology,University of California Davis,N/A,3,https://www.ratemyprofessors.com/professor/152017
116,James Schaaf,4.0,35,Engineering,University of California Davis,100%,2.4,https://www.ratemyprofessors.com/professor/152198
117,Jeanette Natzle,4.2,15,Science,University of California Davis,N/A,2.7,https://www.ratemyprofessors.com/professor/152683
118,Alex Mogilner,2.1,42,Mathematics,University of California Davis,N/A,3.3,https://www.ratemyprofessors.com/professor/153512
119,Judy Callis,4.6,65,Biology,University of California Davis,100%,3.5,https://www.ratemyprofessors.com/professor/154360
120,Scott Gartner,3.3,79,Political Science,University of California Davis,N/A,4,https://www.ratemyprofessors.com/professor/154457
121,Jared Haynes,4.0,30,English,University of California Davis,N/A,3.3,https://www.ratemyprofessors.com/professor/155633
122,Ken Joy,3.7,18,Computer Science,University of California Davis,N/A,2.6,https://www.ratemyprofessors.com/professor/156049
123,Charles Martel,4.6,10,Computer Science,University of California Davis,N/A,3.6,https://www.ratemyprofessors.com/professor/156051
124,Margaret Ferguson,4.4,23,English,University of California Davis,N/A,3.1,https://www.ratemyprofessors.com/professor/156305
125,Lou Bronzan,4.6,20,Physical Ed,University of California Davis,84%,1.4,https://www.ratemyprofessors.com/professor/157595
126,Kathleen O'Connor,4.7,3,Theology,University of California Davis,100%,3,https://www.ratemyprofessors.com/professor/157637
127,Brenda Schildgen,3.4,33,Literature,University of California Davis,N/A,2.7,https://www.ratemyprofessors.com/professor/157644
128,Diane Felmlee,3.8,45,Sociology,University of California Davis,N/A,3.3,https://www.ratemyprofessors.com/professor/157731
129,W. Ronald Fawcett,2.4,7,Chemistry,University of California Davis,N/A,3.1,https://www.ratemyprofessors.com/professor/158369
130,Alexander Harcourt,2.8,36,Anthropology,University of California Davis,N/A,3.9,https://www.ratemyprofessors.com/professor/159112
131,Paul Baumann,0.0,0,Biology,University of California Davis,N/A,0,https://www.ratemyprofessors.com/professor/159288
132,Gregg Recanzone,3.3,51,Biology,University of California Davis,67%,3.9,https://www.ratemyprofessors.com/professor/160594
133,Robert Sommer,3.1,14,Psychology,University of California Davis,N/A,2.2,https://www.ratemyprofessors.com/professor/160598
134,David Nutter,2.3,17,Music,University of California Davis,N/A,2.5,https://www.ratemyprofessors.com/professor/161108
135,D.R. Wagner,2.7,67,Design,University of California Davis,N/A,3,https://www.ratemyprofessors.com/professor/161130
136,Dan Cox,3.1,31,Physics,University of California Davis,80%,3.5,https://www.ratemyprofessors.com/professor/161199
137,Susan George,3.7,28,Humanities,University of California Davis,N/A,2.5,https://www.ratemyprofessors.com/professor/161737
138,Hilary Hoynes,4.2,46,Economics,University of California Davis,N/A,2.9,https://www.ratemyprofessors.com/professor/161938
139,Kari Lokke,2.9,12,English,University of California Davis,N/A,2.9,https://www.ratemyprofessors.com/professor/162298
140,Francisco Samaniego,3.6,47,Statistics,University of California Davis,N/A,3.4,https://www.ratemyprofessors.com/professor/162840
141,Karl Beitel,2.7,29,Social Science,University of California Davis,N/A,2.6,https://www.ratemyprofessors.com/professor/162924
142,G.T. Sallee,3.0,74,Mathematics,University of California Davis,N/A,3.6,https://www.ratemyprofessors.com/professor/163655
143,Bernadette Tarallo,3.2,69,Social Science,University of California Davis,50%,2.4,https://www.ratemyprofessors.com/professor/165802
144,Katherine Gibbs,4.0,90,Psychology,University of California Davis,100%,2.4,https://www.ratemyprofessors.com/professor/166838
145,Norman Skonovd,2.6,31,Sociology,University of California Davis,50%,2.6,https://www.ratemyprofessors.com/professor/166841
146,Ben Yoo,3.3,6,Engineering,University of California Davis,0%,2,https://www.ratemyprofessors.com/professor/166897
147,Niels Jensen,3.3,63,Engineering,University of California Davis,90%,4,https://www.ratemyprofessors.com/professor/170365
148,Rob Chai,3.6,37,Engineering,University of California Davis,80%,3.1,https://www.ratemyprofessors.com/professor/170367
149,James Griesemer,4.4,65,Philosophy,University of California Davis,79%,1.6,https://www.ratemyprofessors.com/professor/170912
150,David Smith,2.7,15,Anthropology,University of California Davis,N/A,3.4,https://www.ratemyprofessors.com/professor/170958
151,Bishnupriya Ghosh,3.1,32,English,University of California Davis,N/A,2.5,https://www.ratemyprofessors.com/professor/171870
152,Yvette Flores-Ortiz,4.8,22,Ethnic Studies,University of California Davis,100%,2.1,https://www.ratemyprofessors.com/professor/172009
153,Francisco Alarcon,2.5,44,Languages,University of California Davis,N/A,2.5,https://www.ratemyprofessors.com/professor/172303
154,Steffen Abel,3.6,69,Biology,University of California Davis,N/A,3.3,https://www.ratemyprofessors.com/professor/173337
155,Timothy Ginn,4.7,10,Engineering,University of California Davis,N/A,2.6,https://www.ratemyprofessors.com/professor/174858
156,Andrew Frank,4.8,6,Music,University of California Davis,N/A,2.8,https://www.ratemyprofessors.com/professor/175870
157,Irwin Segel,3.0,76,Biology,University of California Davis,67%,4,https://www.ratemyprofessors.com/professor/176085
158,Catherine Kudlick,3.5,35,History,University of California Davis,0%,3.5,https://www.ratemyprofessors.com/professor/176229
159,Joel Johnson,4.2,63,Psychology,University of California Davis,N/A,2.9,https://www.ratemyprofessors.com/professor/176484
160,Kathryn Radke,3.6,19,Biology,University of California Davis,N/A,3.9,https://www.ratemyprofessors.com/professor/176521
161,Patrick Farrell,3.8,39,Linguistics,University of California Davis,88%,1.9,https://www.ratemyprofessors.com/professor/176913
162,Bernard Levy,2.7,19,Engineering,University of California Davis,100%,3.5,https://www.ratemyprofessors.com/professor/177164
163,John Owens,4.4,23,Engineering,University of California Davis,86%,2.6,https://www.ratemyprofessors.com/professor/177894
164,Chia-Ning Chang,4.0,17,East Asian Studies,University of California Davis,N/A,2.8,https://www.ratemyprofessors.com/professor/180643
165,Wayne Thiebaud,4.8,6,Fine Arts,University of California Davis,N/A,2,https://www.ratemyprofessors.com/professor/183446
166,Douglas Adams,4.4,35,Agriculture,University of California Davis,N/A,2.8,https://www.ratemyprofessors.com/professor/192975
