,Name,Quality Rating,Total Ratings,Department,University,Would Take Again,Level of Difficulty,Link
2170,Paul Gepts,4.0,25,Plant & Soil Science,University of California Davis,100%,2.3,https://www.ratemyprofessors.com/professor/706607
2171,Anne Ward,2.6,7,Women's Studies,University of California Davis,43%,3.9,https://www.ratemyprofessors.com/professor/2168724
2172,Jeffrey Nicklas,5.0,1,Science & Technology Studies,University of California Davis,100%,2,https://www.ratemyprofessors.com/professor/2674834
2173,Li Tian,4.4,20,Plant & Soil Science,University of California Davis,95%,2.2,https://www.ratemyprofessors.com/professor/1552597
2174,Anthony Menicucci,3.8,9,Geology,University of California Davis,67%,3.4,https://www.ratemyprofessors.com/professor/2239878
2175,Lawrence Marx,4.1,409,Mathematics,University of California Davis,79%,3.5,https://www.ratemyprofessors.com/professor/78701
2176,Graham Fogg,3.5,12,Environmental Science,University of California Davis,25%,2.7,https://www.ratemyprofessors.com/professor/577997
2177,Amber Hood,5.0,1,Foreign Languages,University of California Davis,100%,3,https://www.ratemyprofessors.com/professor/2674942
2178,Shelley Brooks,5.0,1,History,University of California Davis,100%,3,https://www.ratemyprofessors.com/professor/2008148
2179,Ari Kelman,4.6,45,History,University of California Davis,100%,2.5,https://www.ratemyprofessors.com/professor/822421
2180,A. Stirling-Harris,5.0,2,History,University of California Davis,100%,2.5,https://www.ratemyprofessors.com/professor/2467477
2181,Alex Guia,4.0,3,Education,University of California Davis,67%,1,https://www.ratemyprofessors.com/professor/2530160
2182,Adam Musser,3.0,1,Education,University of California Davis,0%,3,https://www.ratemyprofessors.com/professor/2393699
2183,Kristine Calvo,3.6,5,Education,University of California Davis,60%,2.6,https://www.ratemyprofessors.com/professor/2500360
2184,Amal Abdelhafez,4.8,5,Foreign Languages,University of California Davis,100%,3,https://www.ratemyprofessors.com/professor/2597281
2185,Lindsay Reid,4.2,18,Political Science,University of California Davis,84%,3.6,https://www.ratemyprofessors.com/professor/2201292
2186,Barbara Shebloski,3.1,81,Human Development,University of California Davis,22%,3,https://www.ratemyprofessors.com/professor/704632
2187,Lesilee Rose,4.6,10,Biology,University of California Davis,84%,3.1,https://www.ratemyprofessors.com/professor/220684
2188,Erik Carlsson,1.6,52,Mathematics,University of California Davis,N/A,4.5,https://www.ratemyprofessors.com/professor/2230185
2189,Justin Carone,5.0,2,Sociology,University of California Davis,100%,1.5,https://www.ratemyprofessors.com/professor/2611984
2190,Laurie San Martin,3.4,19,Music,University of California Davis,100%,2.9,https://www.ratemyprofessors.com/professor/85102
2191,Manuel Calderon de la Barca,3.0,33,Physics,University of California Davis,44%,3.7,https://www.ratemyprofessors.com/professor/953024
2192,Lalia Kiburi,3.7,232,Sociology,University of California Davis,70%,3.2,https://www.ratemyprofessors.com/professor/663591
2193,Haven Keirs,2.7,3,Landscape Architecture & Regional Planning,University of California Davis,50%,1,https://www.ratemyprofessors.com/professor/2660508
2194,Howard Spero,3.7,12,Geology,University of California Davis,50%,3.1,https://www.ratemyprofessors.com/professor/314228
2195,Aaron Benedetti,5.0,5,Women's Studies,University of California Davis,100%,2.6,https://www.ratemyprofessors.com/professor/2646198
2196,David Barrera,5.0,1,English,University of California Davis,100%,3,https://www.ratemyprofessors.com/professor/2676332
2197,Robert Fairclough,2.5,34,Science,University of California Davis,0%,4,https://www.ratemyprofessors.com/professor/319859
2198,Anastasia Chavez,5.0,3,Mathematics,University of California Davis,100%,3.3,https://www.ratemyprofessors.com/professor/2577121
2199,Kristin Gaasbeck,2.4,10,Economics,University of California Davis,0%,3.7,https://www.ratemyprofessors.com/professor/1615027
2200,Ambarish Kulkarni,5.0,1,Engineering,University of California Davis,100%,4,https://www.ratemyprofessors.com/professor/2663070
2201,Bruce Draper,3.0,22,Biological Sciences,University of California Davis,86%,3.9,https://www.ratemyprofessors.com/professor/1145659
2202,Paul Debashis,2.3,51,Statistics,University of California Davis,72%,3.2,https://www.ratemyprofessors.com/professor/779324
2203,Coleman Kronawitter,4.1,12,Chemical Engineering,University of California Davis,93%,4,https://www.ratemyprofessors.com/professor/2200455
2204,Yoko Kato,4.8,5,Japanese,University of California Davis,100%,4,https://www.ratemyprofessors.com/professor/2244316
2205,Aaron Beckner,2.5,2,Psychology,University of California Davis,0%,3.5,https://www.ratemyprofessors.com/professor/2648346
2206,Brittany Kelley,0.0,0,University Writing Program,University of California Davis,0%,0,https://www.ratemyprofessors.com/professor/2661481
2207,Santiago Ramirez,3.7,20,Ecology Evolutionary Biology,University of California Davis,74%,3,https://www.ratemyprofessors.com/professor/1925652
2208,James Owens,0.0,0,Electrical amp Comp. Engineering,University of California Davis,N/A,0,https://www.ratemyprofessors.com/professor/2661638
2209,Lauren Acosta,0.0,0,Sociology,University of California Davis,N/A,0,https://www.ratemyprofessors.com/professor/2661655
2210,Morgan Smith,5.0,4,Spanish,University of California Davis,100%,3.3,https://www.ratemyprofessors.com/professor/2651614
2211,Stefano Varese,3.0,34,Native American Studies,University of California Davis,100%,2,https://www.ratemyprofessors.com/professor/152758
2212,Olga Stuchebrukhov,4.4,25,English,University of California Davis,100%,2.6,https://www.ratemyprofessors.com/professor/152478
2213,Jambul Akkaziev,4.2,19,University Writing Program,University of California Davis,80%,3.3,https://www.ratemyprofessors.com/professor/2284077
2214,Andreas Albrecht,4.1,21,Physics,University of California Davis,100%,2,https://www.ratemyprofessors.com/professor/365027
2215,Jonathan London,3.8,10,Social Science,University of California Davis,86%,2.8,https://www.ratemyprofessors.com/professor/550797
2216,Bernd Hamann,3.5,56,Computer Science,University of California Davis,45%,3.7,https://www.ratemyprofessors.com/professor/149768
2217,Annalaura Stingo,2.8,29,Mathematics,University of California Davis,52%,3.5,https://www.ratemyprofessors.com/professor/2447967
2218,Benjamin Blackman,5.0,6,English,University of California Davis,100%,1.8,https://www.ratemyprofessors.com/professor/2436749
2219,James Letts,0.0,0,MolecularCellular Biology,University of California Davis,100%,0,https://www.ratemyprofessors.com/professor/2662204
2220,Jonathan Radocay,4.8,9,English,University of California Davis,100%,1.9,https://www.ratemyprofessors.com/professor/2323650
2221,Jacquelyn Gervay Hague,2.4,37,Chemistry,University of California Davis,50%,3.6,https://www.ratemyprofessors.com/professor/566215
2222,Aakash Prabhu,5.0,21,Computer Science,University of California Davis,96%,3.3,https://www.ratemyprofessors.com/professor/2520128
2223,Eric Post,4.5,2,Wildlife,University of California Davis,89%,2,https://www.ratemyprofessors.com/professor/2579216
2224,Amy McLean,3.8,6,Animal Science,University of California Davis,78%,1.8,https://www.ratemyprofessors.com/professor/2437796
2225,Shu Shen,2.6,26,Economics,University of California Davis,43%,3.9,https://www.ratemyprofessors.com/professor/1696895
2226,Yasmine Hachimi,5.0,2,English,University of California Davis,100%,1,https://www.ratemyprofessors.com/professor/2602363
2227,Gregory Pasternak,4.2,4,Ecology & Evolutionary Biology,University of California Davis,100%,2,https://www.ratemyprofessors.com/professor/1615063
2228,Douglas Cook,3.2,25,Science,University of California Davis,58%,2.3,https://www.ratemyprofessors.com/professor/537757
2229,Tobias Menely,4.6,13,English,University of California Davis,100%,3.6,https://www.ratemyprofessors.com/professor/2077443
2230,Madison Wheeler,5.0,2,German,University of California Davis,100%,2,https://www.ratemyprofessors.com/professor/2655810
2231,Susan Rivera,3.7,30,Psychology,University of California Davis,88%,3.6,https://www.ratemyprofessors.com/professor/41398
2232,William Sewell,0.0,0,English,University of California Davis,N/A,0,https://www.ratemyprofessors.com/professor/2678502
2233,Kelly Kissock,0.0,0,Engineering,University of California Davis,N/A,0,https://www.ratemyprofessors.com/professor/2678558
2234,John Lopez,4.0,1,Art & Art History,University of California Davis,100%,3,https://www.ratemyprofessors.com/professor/2502204
2235,Marianne Bitler,2.8,6,Economics,University of California Davis,67%,3,https://www.ratemyprofessors.com/professor/2153635
2236,Albert Fannjiang,2.2,58,Mathematics,University of California Davis,21%,3.6,https://www.ratemyprofessors.com/professor/741784
2237,Christine Diepenbrock,5.0,2,Biotechnology,University of California Davis,91%,2,https://www.ratemyprofessors.com/professor/2642711
2238,Carolina Viera,4.9,3,Spanish,University of California Davis,100%,2,https://www.ratemyprofessors.com/professor/1418926
2239,Patrick Carroll,2.5,23,Sociology,University of California Davis,22%,2.8,https://www.ratemyprofessors.com/professor/1033483
2240,Ryan Hensley,0.0,0,Physics,University of California Davis,N/A,0,https://www.ratemyprofessors.com/professor/2664872
2241,Lloyd Knox,2.7,19,Physics,University of California Davis,75%,3.1,https://www.ratemyprofessors.com/professor/351365
2242,Lucy Corin,2.6,45,English,University of California Davis,50%,2.9,https://www.ratemyprofessors.com/professor/522653
2243,Jae Wan Park,2.7,11,Engineering,University of California Davis,67%,3,https://www.ratemyprofessors.com/professor/1265537
2244,David Wittman,2.3,53,Physics,University of California Davis,34%,3.9,https://www.ratemyprofessors.com/professor/895007
2245,Karl Murray,0.0,0,Neurobiology & Behavior,University of California Davis,N/A,0,https://www.ratemyprofessors.com/professor/2666156
2246,Jennifer Grace,4.0,1,Theatre & Dance,University of California Davis,100%,1,https://www.ratemyprofessors.com/professor/2613404
2247,Charan Ranganath,3.4,20,Psychology,University of California Davis,67%,3.3,https://www.ratemyprofessors.com/professor/433106
2248,Jairo Patino,2.5,2,Statistics,University of California Davis,92%,3,https://www.ratemyprofessors.com/professor/2666833
2249,Valentin Taufour,2.9,24,Physics,University of California Davis,66%,4.3,https://www.ratemyprofessors.com/professor/2205030
2250,Christina Gifford,4.4,7,English,University of California Davis,86%,2.7,https://www.ratemyprofessors.com/professor/2238649
2251,Marusa Bradac,3.2,35,Physics,University of California Davis,53%,2.9,https://www.ratemyprofessors.com/professor/1451497
2252,Jade Pratt,2.0,5,Chemistry,University of California Davis,20%,4,https://www.ratemyprofessors.com/professor/2624218
2253,Annette Hulbert,5.0,9,English,University of California Davis,100%,2,https://www.ratemyprofessors.com/professor/2096785
2254,Alan Klima,2.9,196,Anthropology,University of California Davis,73%,2.1,https://www.ratemyprofessors.com/professor/338493
2255,Heidi Kucera,5.0,1,MolecularCellular Biology,University of California Davis,100%,4,https://www.ratemyprofessors.com/professor/2558574
2256,Ayo Walker,3.4,5,African-American Studies,University of California Davis,80%,2.6,https://www.ratemyprofessors.com/professor/2312257
2257,Sarah Hart,4.0,1,Theatre & Dance,University of California Davis,100%,3,https://www.ratemyprofessors.com/professor/2667826
2258,Sarah Gaudio,3.4,6,Geology,University of California Davis,0%,2.5,https://www.ratemyprofessors.com/professor/1882047
2259,Adam Getchell,5.0,4,Physical Education,University of California Davis,100%,3.8,https://www.ratemyprofessors.com/professor/1731228
2260,Beenash Jafri,4.0,1,Women's Studies,University of California Davis,100%,4,https://www.ratemyprofessors.com/professor/2649930
2261,Jihan Shaarawi,5.0,3,Comparative Literature,University of California Davis,100%,2.7,https://www.ratemyprofessors.com/professor/2662876
2262,Sarah Eddings,3.9,12,University Writing Program,University of California Davis,84%,2.4,https://www.ratemyprofessors.com/professor/2383276
2263,Johnna Swartz,4.5,9,Human Development,University of California Davis,100%,3,https://www.ratemyprofessors.com/professor/2384843
2264,Maggie Morgan,4.0,9,Theatre & Dance,University of California Davis,75%,2.6,https://www.ratemyprofessors.com/professor/1614744
2265,MacEo Montoya,4.4,21,Chicano Studies,University of California Davis,94%,2,https://www.ratemyprofessors.com/professor/1720055
2266,Brenda Rinard,4.9,7,Writing,University of California Davis,100%,3,https://www.ratemyprofessors.com/professor/2021944
2267,Dirk Van Vuren,4.4,22,Wildlife,University of California Davis,91%,2.5,https://www.ratemyprofessors.com/professor/1580470
2268,Allison Grenda,5.0,2,Art & Art History,University of California Davis,100%,4,https://www.ratemyprofessors.com/professor/2662356
2269,Chris Froh,4.4,36,Music,University of California Davis,87%,2.4,https://www.ratemyprofessors.com/professor/829194
2270,Kristin A. Van Gaasbeck,2.4,80,Economics,University of California Davis,17%,3.8,https://www.ratemyprofessors.com/professor/223988
2271,Joseph Dumit,4.0,37,Anthropology,University of California Davis,89%,1.9,https://www.ratemyprofessors.com/professor/853636
2272,Megan Arkenberg,4.3,12,University Writing Program,University of California Davis,88%,3,https://www.ratemyprofessors.com/professor/2119172
2273,Anna Busse Berger,4.2,18,Music,University of California Davis,72%,2.7,https://www.ratemyprofessors.com/professor/458206
2274,Alyssa Ney,4.0,8,Philosophy,University of California Davis,100%,2.6,https://www.ratemyprofessors.com/professor/2132910
2275,David McCourt,4.4,13,Sociology,University of California Davis,92%,3.4,https://www.ratemyprofessors.com/professor/2118508
2276,Michael Harvkey,2.7,3,English,University of California Davis,34%,3.7,https://www.ratemyprofessors.com/professor/2578504
2277,Wolfgang Polonik,4.3,17,Mathematics,University of California Davis,70%,3.4,https://www.ratemyprofessors.com/professor/155233
2278,Miguel Ruiz,3.7,6,Sociology,University of California Davis,67%,3.3,https://www.ratemyprofessors.com/professor/2058637
2279,Wiebke Bleidorn,3.4,17,Psychology,University of California Davis,79%,2.9,https://www.ratemyprofessors.com/professor/2119567
2280,Amelia Munson,5.0,1,Environmental Science,University of California Davis,100%,3,https://www.ratemyprofessors.com/professor/2681028
2281,Rena Zieve,3.7,22,Physics,University of California Davis,50%,3.7,https://www.ratemyprofessors.com/professor/156053
2282,John Bolander,4.2,29,Civil Engineering,University of California Davis,100%,2.6,https://www.ratemyprofessors.com/professor/1495052
2283,Nancy Sayavong,3.2,5,Art,University of California Davis,40%,2.8,https://www.ratemyprofessors.com/professor/2580424
2284,Brenna Henn,3.0,3,Anthropology,University of California Davis,75%,4.7,https://www.ratemyprofessors.com/professor/2351429
2285,Steve Carlip,4.0,23,Physics,University of California Davis,100%,2.8,https://www.ratemyprofessors.com/professor/169299
2286,Johan Leveau,4.4,46,Plant Pathology,University of California Davis,96%,2.4,https://www.ratemyprofessors.com/professor/1816176
2287,Michiko Suzuki,0.0,0,Japanese,University of California Davis,100%,0,https://www.ratemyprofessors.com/professor/2672527
2288,Jai Apate,2.0,2,French,University of California Davis,0%,3,https://www.ratemyprofessors.com/professor/2668979
2289,Jean-Yves Merilus,3.4,14,Human Ecology,University of California Davis,50%,3.6,https://www.ratemyprofessors.com/professor/2276719
2290,Gabriel Subuyuj,5.0,1,Microbiology,University of California Davis,100%,3,https://www.ratemyprofessors.com/professor/2670850
2291,Amanda Rupiper,5.0,1,Environmental Science & Policy,University of California Davis,100%,2,https://www.ratemyprofessors.com/professor/2672845
2292,Maciel Hernandez,2.9,11,Human Development,University of California Davis,46%,2.7,https://www.ratemyprofessors.com/professor/2571693
2293,Art Shapiro,2.9,24,Biology,University of California Davis,25%,3.5,https://www.ratemyprofessors.com/professor/154106
2294,Thomas Rohit,2.7,49,Mathematics,University of California Davis,27%,3.8,https://www.ratemyprofessors.com/professor/1163392
2295,Paul Kidhardt,5.0,8,Spanish,University of California Davis,100%,3.4,https://www.ratemyprofessors.com/professor/2302207
2296,Peter Merkx,2.9,24,Mathematics,University of California Davis,42%,3.5,https://www.ratemyprofessors.com/professor/2529910
2297,Earl Carstens,4.1,27,Science,University of California Davis,80%,3.1,https://www.ratemyprofessors.com/professor/565809
2298,Huy Tran,2.0,1,Management,University of California Davis,0%,3,https://www.ratemyprofessors.com/professor/2662363
2299,Edward Tavernetti,4.6,8,Mathematics,University of California Davis,75%,4,https://www.ratemyprofessors.com/professor/2463311
2300,Becca Thomases,2.6,72,Mathematics,University of California Davis,36%,3.7,https://www.ratemyprofessors.com/professor/1032365
2301,Amiruddin Bin Johan Lechner,5.0,2,Chemistry,University of California Davis,100%,3.5,https://www.ratemyprofessors.com/professor/2640843
2302,Jamie Davidson,0.0,0,Art,University of California Davis,0%,0,https://www.ratemyprofessors.com/professor/2675942
2303,Susan Verba,4.9,5,Design,University of California Davis,100%,2.8,https://www.ratemyprofessors.com/professor/1548507
2304,Robin Erbacher,3.0,24,Physics,University of California Davis,34%,2.8,https://www.ratemyprofessors.com/professor/587203
2305,Bill McCarthy,3.9,60,Sociology,University of California Davis,45%,3.7,https://www.ratemyprofessors.com/professor/34041
2306,Alice Harris,4.1,31,History,University of California Davis,84%,3.3,https://www.ratemyprofessors.com/professor/699281
2307,Connor Gorman,2.9,7,Physical Sciences,University of California Davis,58%,2.9,https://www.ratemyprofessors.com/professor/2443488
2308,Michael Hoffman,0.0,0,English,University of California Davis,N/A,0,https://www.ratemyprofessors.com/professor/2695829
2309,Angel Hinzo,3.8,2,Native American Studies,University of California Davis,100%,2.5,https://www.ratemyprofessors.com/professor/1913176
2310,Kaveh Zamani,5.0,12,Civil Engineering,University of California Davis,100%,1.9,https://www.ratemyprofessors.com/professor/1919745
2311,Talinn Grigor,2.2,14,Art Art History,University of California Davis,40%,3,https://www.ratemyprofessors.com/professor/2082081
2312,Aseel Baluom,1.0,1,Advisor,University of California Davis,0%,3,https://www.ratemyprofessors.com/professor/2667039
2313,John Harada,4.4,36,Biological Sciences,University of California Davis,67%,3.2,https://www.ratemyprofessors.com/professor/678899
2314,Jennifer Burke Reifman,5.0,1,Writing,University of California Davis,100%,3,https://www.ratemyprofessors.com/professor/2696318
2315,Duane Kouba,4.6,419,Mathematics,University of California Davis,90%,3,https://www.ratemyprofessors.com/professor/58847
2316,Magdalena Wojcieszak,4.1,8,Communication,University of California Davis,75%,3.8,https://www.ratemyprofessors.com/professor/2476135
2317,Omar Velazquez-Mendoza,2.6,19,Spanish,University of California Davis,100%,2.9,https://www.ratemyprofessors.com/professor/888828
2318,Julia Coates,2.9,7,Native Studies,University of California Davis,50%,3.1,https://www.ratemyprofessors.com/professor/964489
2319,Va Nee Van Vleck,2.1,31,Economics,University of California Davis,0%,4.1,https://www.ratemyprofessors.com/professor/277745
2320,Ben Kimelman,2.0,1,Physics,University of California Davis,0%,4,https://www.ratemyprofessors.com/professor/2698401
2321,Stewart Mukhopadhyay,2.0,1,Geology,University of California Davis,100%,3,https://www.ratemyprofessors.com/professor/2242397
2322,Yukiko Asano,4.0,2,Japanese,University of California Davis,50%,4.5,https://www.ratemyprofessors.com/professor/2630955
2323,Trish Berger,2.7,43,Science,University of California Davis,39%,3.4,https://www.ratemyprofessors.com/professor/148744
2324,Mariel Vazquez,2.5,15,Mathematics,University of California Davis,38%,3.5,https://www.ratemyprofessors.com/professor/2260947
2325,Edward WU,3.2,5,Human Development,University of California Davis,100%,3.6,https://www.ratemyprofessors.com/professor/1804093
2326,Alan Balch,2.6,18,Chemistry,University of California Davis,50%,3.8,https://www.ratemyprofessors.com/professor/158343
2327,George Branner,3.8,4,Electrical Engineering,University of California Davis,100%,3.8,https://www.ratemyprofessors.com/professor/1310689
2328,Milmon Harrison,4.1,54,Ethnic Studies,University of California Davis,89%,2.7,https://www.ratemyprofessors.com/professor/77832
2329,John Hancock,4.0,213,Accounting,University of California Davis,76%,2.7,https://www.ratemyprofessors.com/professor/148724
2330,Vinh Van Nguyen,2.3,4,Mathematics,University of California Davis,25%,4,https://www.ratemyprofessors.com/professor/2655709
2331,Jochen Ditterich,3.4,31,Science,University of California Davis,50%,3.4,https://www.ratemyprofessors.com/professor/529595
2332,Pratibha Agarwal,0.0,0,Computer Science,University of California Davis,N/A,0,https://www.ratemyprofessors.com/professor/2700593
2333,Michael Meiers,1.9,21,Physics,University of California Davis,20%,4.1,https://www.ratemyprofessors.com/professor/2590322
2334,Tina Leahy,5.0,1,Law,University of California Davis,100%,3,https://www.ratemyprofessors.com/professor/2700875
2335,Emily West,4.7,3,Physics,University of California Davis,100%,3,https://www.ratemyprofessors.com/professor/1309048
2336,Yael Teff-Seker,0.0,0,Religious Studies,University of California Davis,100%,0,https://www.ratemyprofessors.com/professor/2700909
2337,Paul Lombardi,4.3,26,Economics,University of California Davis,89%,2.6,https://www.ratemyprofessors.com/professor/2157156
2338,Linda Katehi,3.5,11,Electrical Comp. Engineering,University of California Davis,73%,2.5,https://www.ratemyprofessors.com/professor/2161944
2339,Alexander Coward,4.6,115,Mathematics,University of California Davis,100%,1.9,https://www.ratemyprofessors.com/professor/1228644
2340,Philippe Rast,0.0,0,Psychology,University of California Davis,100%,0,https://www.ratemyprofessors.com/professor/2701720
2341,Nathan Alexander,0.0,0,Chemical Engineering,University of California Davis,N/A,0,https://www.ratemyprofessors.com/professor/2681318
2342,Lee Emrich,4.6,16,English,University of California Davis,94%,2.6,https://www.ratemyprofessors.com/professor/2311500
2343,Paul Ullrich,4.5,16,Environmental Science,University of California Davis,96%,2.6,https://www.ratemyprofessors.com/professor/2185763
2344,Jessica Rodrigues Poletti,4.5,2,Spanish,University of California Davis,100%,2,https://www.ratemyprofessors.com/professor/2460885
2345,Susan Lagle,0.0,0,Anthropology,University of California Davis,N/A,0,https://www.ratemyprofessors.com/professor/2702316
2346,I-chia Lee,4.8,10,Chinese,University of California Davis,100%,2.9,https://www.ratemyprofessors.com/professor/1793454
2347,Kristen Kiesel,2.5,32,Agricultural & Resource Economics,University of California Davis,63%,3.5,https://www.ratemyprofessors.com/professor/2120105
2348,Sasha Pesci,5.0,1,Landscape Architecture & Regional Planning,University of California Davis,100%,1,https://www.ratemyprofessors.com/professor/2702403
2349,Morgane Konig,1.6,18,Physics,University of California Davis,12%,4.7,https://www.ratemyprofessors.com/professor/2547246
2350,Houman Houmayoun,1.8,13,Electrical & Comp. Engineering,University of California Davis,22%,4.1,https://www.ratemyprofessors.com/professor/2571194
2351,Chris Hopwood,3.1,20,Psychology,University of California Davis,55%,3.5,https://www.ratemyprofessors.com/professor/2340276
2352,Brian Wiltgen,4.1,19,Psychology,University of California Davis,100%,3.1,https://www.ratemyprofessors.com/professor/1850740
2353,Hans-Georg Muller,2.0,2,Statistics,University of California Davis,67%,4.5,https://www.ratemyprofessors.com/professor/2341795
2354,Xiaodong Li,2.1,21,Statistics,University of California Davis,37%,3.8,https://www.ratemyprofessors.com/professor/2151901
2355,Daniel Choe,2.7,18,Human Development,University of California Davis,59%,3.9,https://www.ratemyprofessors.com/professor/2177860
2356,Kendon Kurzer,3.7,23,University Writing Program,University of California Davis,67%,3.6,https://www.ratemyprofessors.com/professor/2041931
2357,Lisa Sperber,4.3,22,English,University of California Davis,92%,3,https://www.ratemyprofessors.com/professor/841650
2358,Lori Lubin,3.8,53,Science,University of California Davis,53%,3,https://www.ratemyprofessors.com/professor/116853
2359,Lori Lubin,1.0,1,Physics,University of California Davis,0%,4,https://www.ratemyprofessors.com/professor/2471225
2360,Konstantinos Zarbalis,4.5,6,Biological Sciences,University of California Davis,84%,1.3,https://www.ratemyprofessors.com/professor/2321325
2361,Karen Bales,3.9,19,Psychology,University of California Davis,70%,3.1,https://www.ratemyprofessors.com/professor/542454
2362,Justin Siegel,2.2,17,Chemistry,University of California Davis,25%,3.4,https://www.ratemyprofessors.com/professor/2019908
2363,Xi Chen,2.7,31,Chemistry,University of California Davis,80%,3.5,https://www.ratemyprofessors.com/professor/429574
2364,Joanne Engebrecht,3.7,58,Biology,University of California Davis,86%,3.4,https://www.ratemyprofessors.com/professor/365814
2365,Brian Young,4.8,15,Comparative Literature,University of California Davis,100%,2.8,https://www.ratemyprofessors.com/professor/516639
2366,Jiayi Young,3.5,9,Design,University of California Davis,70%,3.5,https://www.ratemyprofessors.com/professor/2116570
2367,Wolf Diane,1.7,7,Sociology,University of California Davis,0%,3.7,https://www.ratemyprofessors.com/professor/1429730
2368,Ryan Finnigan,4.3,37,Sociology,University of California Davis,89%,2.5,https://www.ratemyprofessors.com/professor/1942231
2369,Frank Osterloh,2.8,39,Chemistry,University of California Davis,20%,3.5,https://www.ratemyprofessors.com/professor/149622
2370,Stephanie Dodson,4.6,11,Mathematics,University of California Davis,75%,3.4,https://www.ratemyprofessors.com/professor/2530389
2371,Veronica Loureiro-Rodriguez,4.4,15,Spanish,University of California Davis,86%,2.2,https://www.ratemyprofessors.com/professor/581568
2372,Laura Grindstaff,3.4,55,Sociology,University of California Davis,40%,3.6,https://www.ratemyprofessors.com/professor/210051
2373,Jaimey Fisher,4.3,34,German,University of California Davis,89%,2.6,https://www.ratemyprofessors.com/professor/823813
2374,Alvin Mao,3.9,14,Chemistry,University of California Davis,79%,3.4,https://www.ratemyprofessors.com/professor/2203922
2375,Cheryl Boudreau,3.7,46,Political Science,University of California Davis,78%,2.5,https://www.ratemyprofessors.com/professor/1177048
2376,Lance Halsted,4.2,9,Engineering,University of California Davis,100%,3.4,https://www.ratemyprofessors.com/professor/334106
2377,Geoff Attardo,5.0,3,Entomology,University of California Davis,100%,2.3,https://www.ratemyprofessors.com/professor/2481840
2378,Priya Shah,5.0,7,Microbiology,University of California Davis,100%,3.1,https://www.ratemyprofessors.com/professor/2673365
2379,Paul Luciw,3.0,12,Pathology,University of California Davis,64%,3.4,https://www.ratemyprofessors.com/professor/1120606
2380,Jeffrey Stott,3.4,46,Science,University of California Davis,62%,2.4,https://www.ratemyprofessors.com/professor/173595
2381,Karinna Hurley,3.8,5,Psychology,University of California Davis,72%,3,https://www.ratemyprofessors.com/professor/1916743
2382,Chris Hale,5.0,2,Spanish,University of California Davis,100%,2,https://www.ratemyprofessors.com/professor/1856243
2383,Ben Weber,5.0,2,African-American Studies,University of California Davis,100%,2,https://www.ratemyprofessors.com/professor/2679809
2384,Grant Acosta,4.9,65,Learning Center,University of California Davis,100%,1.8,https://www.ratemyprofessors.com/professor/111178
2385,Chris Smith,3.5,22,Sociology,University of California Davis,37%,4.2,https://www.ratemyprofessors.com/professor/2029223
2386,Elena Fuchs,3.9,33,Mathematics,University of California Davis,91%,3.2,https://www.ratemyprofessors.com/professor/2172558
2387,Brian Bailey,4.2,5,Plant & Soil Science,University of California Davis,100%,2.2,https://www.ratemyprofessors.com/professor/2616820
2388,Angie Chabram-Dernersesian,3.9,23,Chicano Studies,University of California Davis,100%,1.8,https://www.ratemyprofessors.com/professor/246149
2389,James Parmenter,4.5,11,Mathematics,University of California Davis,100%,2.5,https://www.ratemyprofessors.com/professor/638591
2390,Emily Breuninger,5.0,4,Sociology,University of California Davis,100%,1.8,https://www.ratemyprofessors.com/professor/2605699
2391,Genesis Bui,4.7,3,Spanish,University of California Davis,100%,2.3,https://www.ratemyprofessors.com/professor/2659477
2392,Grace Delmolino,4.5,2,Humanities,University of California Davis,100%,2.5,https://www.ratemyprofessors.com/professor/2677913
2393,Boris Jeremic,2.6,31,Engineering,University of California Davis,43%,3.7,https://www.ratemyprofessors.com/professor/934284
2394,Edward Dickinson,4.2,61,History,University of California Davis,86%,2.5,https://www.ratemyprofessors.com/professor/1041352
2395,Roy Taggueg,0.0,0,Asian American Studies,University of California Davis,100%,0,https://www.ratemyprofessors.com/professor/2680389
2396,Kristin Lagattuta,4.3,72,Psychology,University of California Davis,79%,2.9,https://www.ratemyprofessors.com/professor/151145
2397,Rucha Joshi,3.2,9,Biomedical Engineering,University of California Davis,56%,3.5,https://www.ratemyprofessors.com/professor/2485830
2398,Christopher Miller,2.9,15,Medicine,University of California Davis,60%,3.3,https://www.ratemyprofessors.com/professor/263977
2399,Kenji Sagae,4.5,15,Linguistics,University of California Davis,95%,2.8,https://www.ratemyprofessors.com/professor/2352548
2400,Sandra Carlson,3.4,76,Science,University of California Davis,100%,2.8,https://www.ratemyprofessors.com/professor/169844
2401,Timothy Hanks,4.7,7,Neurobiology amp Behavior,University of California Davis,100%,3,https://www.ratemyprofessors.com/professor/2388079
2402,Sam Diaz-Munoz,3.4,8,Microbiology,University of California Davis,50%,3.4,https://www.ratemyprofessors.com/professor/2693696
2403,Angela Zivkovic,1.9,7,Nutrition,University of California Davis,40%,4.5,https://www.ratemyprofessors.com/professor/2105971
2404,(Carolyn) Miki Wheeler,3.8,48,Japanese,University of California Davis,73%,2.9,https://www.ratemyprofessors.com/professor/1224236
2405,David Corina,3.6,38,Linguistics,University of California Davis,60%,2.7,https://www.ratemyprofessors.com/professor/810187
2406,Theresa Walsh,4.9,22,University Writing Program,University of California Davis,96%,1.9,https://www.ratemyprofessors.com/professor/1975936
